iter	RMSE
0	2.136308003
1	2.11909718
2	2.102013792
3	2.085118474
4	2.068426932
5	2.051973639
6	2.035627797
7	2.019461539
8	2.003570885
9	1.987810576
10	1.972182395
11	1.956804006
12	1.941536029
13	1.926476267
14	1.911619086
15	1.896931799
16	1.882401609
17	1.868177378
18	1.853995783
19	1.839999785
20	1.826154373
21	1.812460339
22	1.798897552
23	1.785597089
24	1.772405455
25	1.759379184
26	1.746516451
27	1.733813925
28	1.721203779
29	1.708767276
30	1.696460949
31	1.684313588
32	1.67232136
33	1.660467028
34	1.648799232
35	1.637228278
36	1.625826809
37	1.614587415
38	1.603430006
39	1.592457381
40	1.581595505
41	1.570888842
42	1.560289694
43	1.549793303
44	1.539483015
45	1.529276499
46	1.51923646
47	1.509297014
48	1.499448967
49	1.48972504
50	1.480145399
51	1.470662802
52	1.461320219
53	1.452107734
54	1.44303695
55	1.434054576
56	1.425218426
57	1.416462754
58	1.407819576
59	1.399310873
60	1.390926778
61	1.382608039
62	1.374443593
63	1.366422723
64	1.358461646
65	1.350617103
66	1.342833087
67	1.335187774
68	1.327667971
69	1.32021301
70	1.312812881
71	1.305591681
72	1.298464717
73	1.291393681
74	1.284403017
75	1.277532874
76	1.270738248
77	1.26404603
78	1.257419306
79	1.250909797
80	1.244517604
81	1.238189158
82	1.231962054
83	1.225830202
84	1.219789769
85	1.213805646
86	1.207922556
87	1.202144472
88	1.196421665
89	1.190774724
90	1.185195911
91	1.179683174
92	1.174252463
93	1.168924063
94	1.163671915
95	1.158454702
96	1.153356321
97	1.148314806
98	1.143343037
99	1.138450148
100	1.133632045
101	1.128877277
102	1.124214043
103	1.119589846
104	1.115043792
105	1.110566733
106	1.106161932
107	1.101813159
108	1.097530676
109	1.093295223
110	1.089139794
111	1.084991704
112	1.080939448
113	1.076973252
114	1.073063272
115	1.069195412
116	1.065388967
117	1.061638721
118	1.057960216
119	1.054352129
120	1.050761465
121	1.047227023
122	1.043769179
123	1.040348181
124	1.036990043
125	1.033684396
126	1.030429203
127	1.027217815
128	1.024066837
129	1.020926139
130	1.017869525
131	1.01488576
132	1.01192241
133	1.008998108
134	1.006122988
135	1.003291568
136	1.000503801
137	0.9977695643
138	0.9950653472
139	0.9924171933
140	0.9898127654
141	0.9872259247
142	0.9847015359
143	0.9822085701
144	0.9797587447
145	0.9773290366
146	0.9749510505
147	0.9726010358
148	0.9702783434
149	0.9680432674
150	0.9658477775
151	0.9636775514
152	0.96153825
153	0.9594345239
154	0.9573453771
155	0.9552864937
156	0.9532794996
157	0.9512945292
158	0.9493792969
159	0.9474631508
160	0.945538089
161	0.9436865528
162	0.9418722251
163	0.9400881051
164	0.9383181829
165	0.9365938858
166	0.9348660241
167	0.933198344
168	0.9315336838
169	0.92991273
170	0.928319412
171	0.9267433485
172	0.9251925321
173	0.9236285885
174	0.922138148
175	0.9206415701
176	0.9191839993
177	0.9177209673
178	0.9163165029
179	0.9149372761
180	0.9135976607
181	0.9122908359
182	0.9109571965
183	0.909673568
184	0.90840322
185	0.9071345127
186	0.9059107493
187	0.9046736501
188	0.903487007
189	0.9023143115
190	0.9011792023
191	0.9000438179
192	0.8989142504
193	0.8978127391
194	0.8967191222
195	0.8956797413
196	0.894605557
197	0.8935687835
198	0.8925569571
199	0.8915590609
200	0.8905967944
201	0.8896378816
202	0.8886752441
203	0.8877513291
204	0.8868608277
205	0.8859554853
206	0.8850807605
207	0.8842240056
208	0.8833705569
209	0.8825368948
210	0.8817175902
211	0.8809263342
212	0.8801441649
213	0.8793304762
214	0.878556413
215	0.8777940675
216	0.8770137275
217	0.8762756948
218	0.8755300287
219	0.8748378471
220	0.8741542702
221	0.8734140897
222	0.8727364003
223	0.8720390334
224	0.8713572136
225	0.8707016785
226	0.870030352
227	0.8694040402
228	0.8687940103
229	0.8681966219
230	0.8675925125
231	0.8669981752
232	0.8663709434
233	0.8657640717
234	0.8651908141
235	0.8646192329
236	0.8640917343
237	0.863525857
238	0.8630120235
239	0.8624843772
240	0.8619546294
241	0.8614386577
242	0.8609680068
243	0.8604876853
244	0.8600251156
245	0.8595268449
246	0.8590617813
247	0.8585829454
248	0.8581525265
249	0.8576970559
250	0.8572611543
251	0.8568366448
252	0.8564094656
253	0.8559892994
254	0.8555665851
255	0.8551318522
256	0.8547083224
257	0.8543272425
258	0.853925098
259	0.8535496133
260	0.8531393066
261	0.8527412849
262	0.8523709797
263	0.8520210712
264	0.8516761352
265	0.8512995886
266	0.850935007
267	0.8505825374
268	0.8502697375
269	0.8499216693
270	0.8495961728
271	0.8492769221
272	0.8489506777
273	0.8486163343
274	0.8482882046
275	0.8479780697
276	0.847636035
277	0.8473504888
278	0.8470640378
279	0.8467776975
280	0.8464912466
281	0.8461858845
282	0.8458789399
283	0.8456114033
284	0.8453701783
285	0.8451108241
286	0.8448215888
287	0.8445452138
288	0.8442657998
289	0.8440070876
290	0.8437196388
291	0.8434564272
292	0.8432082859
293	0.8429812808
294	0.8427205948
295	0.8424847622
296	0.8422613984
297	0.8420303664
298	0.841794605
299	0.8415654761
300	0.8413420905
301	0.8411432699
302	0.8409472721
303	0.8407125408
304	0.8404918933
305	0.8402842421
306	0.8400522422
307	0.8398110474
308	0.839606446
309	0.8394087111
310	0.8391936797
311	0.8390301722
312	0.8388214113
313	0.8386250913
314	0.8384754461
315	0.8382755896
316	0.8381016479
317	0.8379241088
318	0.8377673366
319	0.8375920415
320	0.8374013572
321	0.8371919589
322	0.8370454915
323	0.8368645085
324	0.8367085274
325	0.8365220842
326	0.8363575172
327	0.8361952083
328	0.8360469389
329	0.8359003324
330	0.8357680268
331	0.8356014624
332	0.8354480169
333	0.8352760954
334	0.8351167257
335	0.8349547292
336	0.8348073214
337	0.8346768799
338	0.8345575924
339	0.8344004931
340	0.8342439294
341	0.8340978943
342	0.8339644087
343	0.8338303722
344	0.833688133
345	0.8335342907
346	0.8333951204
347	0.8332628248
348	0.8331575381
349	0.8330225129
350	0.8328905622
351	0.8327605007
352	0.8326343098
353	0.8325116071
354	0.8323988829
355	0.8322727353
356	0.8321487719
357	0.832048479
358	0.8319362324
359	0.831815115
360	0.8316954444
361	0.8315867142
362	0.8314456655
363	0.8313203823
364	0.8312252245
365	0.8310958151
366	0.8309779107
367	0.830850732
368	0.8307461114
369	0.830629692
370	0.8305405499
371	0.8304322341
372	0.8303312827
373	0.8302173846
374	0.8301318794
375	0.8300262545
376	0.8299155788
377	0.8298189669
378	0.8297204285
379	0.8296148466
380	0.829547829
381	0.8294431142
382	0.8293637501
383	0.8292659436
384	0.8291751827
385	0.8290721472
386	0.8289785016
387	0.8288679629
388	0.8287753483
389	0.8286849239
390	0.8285957535
391	0.8284835872
392	0.8283871795
393	0.8283170887
394	0.8282287863
395	0.8281323609
396	0.8280429202
397	0.8279683588
398	0.8278979507
399	0.8278028058
400	0.8277143359
401	0.8276362033
402	0.8275603746
403	0.8274697949
404	0.8273786267
405	0.8273042047
406	0.8272217146
407	0.8271368756
408	0.8270486355
409	0.8269585117
410	0.8268834831
411	0.8267934395
412	0.8267082548
413	0.8266277718
414	0.8265459811
415	0.8264724012
416	0.8264011775
417	0.8263229306
418	0.8262479992
419	0.8261754756
420	0.8261189631
421	0.8260624171
422	0.8259962043
423	0.8259280283
424	0.8258361634
425	0.8257833185
426	0.8257148367
427	0.8256493198
428	0.8255799173
429	0.8255101136
430	0.8254529681
431	0.8253885839
432	0.8253200455
433	0.8252643737
434	0.8251919525
435	0.8251144217
436	0.8250467647
437	0.8249881463
438	0.8249266353
439	0.8248727198
440	0.8247986876
441	0.8247298445
442	0.8246779762
443	0.8246193053
444	0.824562799
445	0.8245002854
446	0.824441048
447	0.8243789368
448	0.8243296754
449	0.8242663837
450	0.8242214829
451	0.824166675
452	0.8241275886
453	0.8240800019
454	0.8240220565
455	0.8239486167
456	0.8238820076
457	0.8238076271
458	0.8237426821
459	0.8236803353
460	0.8236125139
461	0.8235576154
462	0.8235173951
463	0.8234521922
464	0.8233906677
465	0.8233461008
466	0.8232785152
467	0.8232376878
468	0.8231810948
469	0.823095339
470	0.8230512332
471	0.8229953419
472	0.8229454994
473	0.8228914355
474	0.8228464749
475	0.8227924282
476	0.8227279109
477	0.8226698979
478	0.8226212772
479	0.8225523256
480	0.8225040895
481	0.8224517648
482	0.8223960978
483	0.8223377253
484	0.8222805297
485	0.8222094358
486	0.8221544864
487	0.8221093448
488	0.8220653447
489	0.8220292785
490	0.8219696394
491	0.8219222676
492	0.8218715874
493	0.8218115777
494	0.821760473
495	0.8217191666
496	0.8216598903
497	0.8216206306
498	0.8215658531
499	0.8215111493
500	0.8214639555
501	0.8214145015
502	0.8213697312
503	0.8213299971
504	0.8212905811
505	0.8212500253
506	0.8212043687
507	0.8211654884
508	0.8211153705
509	0.8210842499
510	0.8210399576
511	0.8210009537
512	0.8209532964
513	0.8209324461
514	0.8208963052
515	0.8208512349
516	0.8208202816
517	0.8207843341
518	0.8207399346
519	0.8207072082
520	0.8206522183
521	0.8206242538
522	0.8205671658
523	0.820525018
524	0.8204969074
525	0.8204558203
526	0.8204154974
527	0.8203785122
528	0.8203474336
529	0.8203133576
530	0.8202574442
531	0.8202155945
532	0.8201705121
533	0.8201221998
534	0.8200961991
535	0.8200740632
536	0.8200421576
537	0.8200159191
538	0.8199961599
539	0.8199631428
540	0.8199242532
541	0.8198861925
542	0.8198384393
543	0.8198013874
544	0.8197651123
545	0.8197157778
546	0.8196766897
547	0.819635753
548	0.819570632
549	0.8195398676
550	0.8195046326
551	0.8194675405
552	0.8194227849
553	0.819387898
554	0.8193456903
555	0.8193054789
556	0.8192817474
557	0.8192462856
558	0.8192006721
559	0.8191697859
560	0.8191348225
561	0.8191015088
562	0.8190809462
563	0.8190357219
564	0.8190023885
565	0.8189668841
566	0.8189272252
567	0.8189010312
568	0.8188699152
569	0.8188240828
570	0.8187917521
571	0.818757157
572	0.8187048577
573	0.8186594326
574	0.8186052442
575	0.8185743385
576	0.8185324857
577	0.8184920969
578	0.8184694615
579	0.8184493766
580	0.8184236046
581	0.8183746205
582	0.8183518245
583	0.8183216306
584	0.8182896577
585	0.8182433969
586	0.8182161431
587	0.8181902653
588	0.8181579551
589	0.8181352505
590	0.8181120327
591	0.818061144
592	0.8180319716
593	0.8180032136
594	0.8179629338
595	0.8179116928
596	0.8178790915
597	0.817844422
598	0.81778868
599	0.817735845
600	0.8177087876
601	0.8176694251
602	0.8176254664
603	0.8175939575
604	0.8175662468
605	0.8175378787
606	0.8175080562
607	0.8174783004
608	0.8174609767
609	0.8174295473
610	0.8173932393
611	0.8173607067
612	0.8173375939
613	0.8173083998
614	0.8172625674
615	0.8172383467
616	0.8171969111
617	0.8171661396
618	0.817142718
619	0.8171255085
620	0.8171022192
621	0.8170849932
622	0.8170463795
623	0.8170228383
624	0.8169938883
625	0.816976844
626	0.8169425855
627	0.8168844713
628	0.8168564923
629	0.8168328207
630	0.8167994143
631	0.8167709099
632	0.8167441649
633	0.8167140044
634	0.8166947874
635	0.8166700155
636	0.816636408
637	0.8166044749
638	0.8165794321
639	0.8165375311
640	0.8165075312
641	0.8164932182
642	0.8164476478
643	0.8164183387
644	0.8163724908
645	0.8163322734
646	0.8162896411
647	0.8162491006
648	0.8162051398
649	0.8161609846
650	0.8161151476
651	0.8160874149
652	0.8160649548
653	0.8160395269
654	0.8160093802
655	0.8159856767
656	0.8159614358
657	0.8159375525
658	0.8158986175
659	0.8158721423
660	0.8158293486
661	0.8158041603
662	0.8157659198
663	0.8157436053
664	0.8156955653
